trade_id,roll_date,roll_from,roll_to,contract_from,contract_to,direction,lots,qty_kg,px_from_inr_kg,px_to_inr_kg,roll_spread_inr_kg,carry_inr_kg,metal_inr_kg,roll_pnl_inr,carry_pnl_inr,metal_pnl_inr,days_to_expiry_from,days_to_expiry_to,mcx_series,note
T02,2022-03-22,T02-MCX-1,T02-MCX-2,2022-03,2022-04,SELL,74,370000.0,280.25,286.95,6.7,0.8786,5.8214,2479000.0,325080.365,2153919.635,9,38,MIRROR,"PANEL_PROXY: M2 > M1 on every panel day by construction, so every short roll is a gain by construction and `metal_inr_kg` is 0 — the gain is INR carry, not term structure"
T01,2022-04-20,T01-MCX-1,T01-MCX-3,2022-04,2022-05,SELL,200,1000000.0,269.3,271.3,2.0,0.921,1.079,2000000.0,921000.3476,1078999.6524,9,41,MIRROR,"PANEL_PROXY: M2 > M1 on every panel day by construction, so every short roll is a gain by construction and `metal_inr_kg` is 0 — the gain is INR carry, not term structure"
T01,2022-04-20,T01-MCX-2,T01-MCX-4,2022-04,2022-05,SELL,100,500000.0,269.3,271.3,2.0,0.921,1.079,1000000.0,460500.1738,539499.8262,9,41,MIRROR,"PANEL_PROXY: M2 > M1 on every panel day by construction, so every short roll is a gain by construction and `metal_inr_kg` is 0 — the gain is INR carry, not term structure"
T02,2022-04-20,T02-MCX-2,T02-MCX-3,2022-04,2022-05,SELL,74,370000.0,269.3,271.3,2.0,0.921,1.079,740000.0,340770.1286,399229.8714,9,41,MIRROR,"PANEL_PROXY: M2 > M1 on every panel day by construction, so every short roll is a gain by construction and `metal_inr_kg` is 0 — the gain is INR carry, not term structure"
T03,2022-04-20,T03-MCX-1,T03-MCX-2,2022-04,2022-05,SELL,143,715000.0,269.3,271.3,2.0,0.921,1.079,1430000.0,658515.2485,771484.7515,9,41,MIRROR,"PANEL_PROXY: M2 > M1 on every panel day by construction, so every short roll is a gain by construction and `metal_inr_kg` is 0 — the gain is INR carry, not term structure"
T04,2022-04-20,T04-MCX-1,T04-MCX-2,2022-04,2022-05,SELL,87,435000.0,269.3,271.3,2.0,0.921,1.079,870000.0,400635.1512,469364.8488,9,41,MIRROR,"PANEL_PROXY: M2 > M1 on every panel day by construction, so every short roll is a gain by construction and `metal_inr_kg` is 0 — the gain is INR carry, not term structure"
T04,2022-05-20,T04-MCX-2,T04-MCX-3,2022-05,2022-06,SELL,87,435000.0,248.4,249.4,1.0,0.959,0.041,435000.0,417180.6206,17819.3794,11,41,MIRROR,"PANEL_PROXY: M2 > M1 on every panel day by construction, so every short roll is a gain by construction and `metal_inr_kg` is 0 — the gain is INR carry, not term structure"
T05,2022-05-20,T05-MCX-1,T05-MCX-2,2022-05,2022-06,SELL,105,525000.0,248.4,249.4,1.0,0.959,0.041,525000.0,503493.8524,21506.1476,11,41,MIRROR,"PANEL_PROXY: M2 > M1 on every panel day by construction, so every short roll is a gain by construction and `metal_inr_kg` is 0 — the gain is INR carry, not term structure"
T06,2022-05-20,T06-MCX-1,T06-MCX-2,2022-05,2022-06,SELL,176,880000.0,248.4,249.4,1.0,0.959,0.041,880000.0,843951.6002,36048.3998,11,41,MIRROR,"PANEL_PROXY: M2 > M1 on every panel day by construction, so every short roll is a gain by construction and `metal_inr_kg` is 0 — the gain is INR carry, not term structure"
T05,2022-06-21,T05-MCX-2,T05-MCX-4,2022-06,2022-07,SELL,105,525000.0,216.6,215.55,-1.05,0.8703,-1.9203,-551250.0,456921.9335,-1008171.9335,9,38,MIRROR,"PANEL_PROXY: M2 > M1 on every panel day by construction, so every short roll is a gain by construction and `metal_inr_kg` is 0 — the gain is INR carry, not term structure"
T07,2022-06-21,T07-MCX-1,T07-MCX-2,2022-06,2022-07,SELL,247,1235000.0,216.6,215.55,-1.05,0.8703,-1.9203,-1296750.0,1074854.4531,-2371604.4531,9,38,MIRROR,"PANEL_PROXY: M2 > M1 on every panel day by construction, so every short roll is a gain by construction and `metal_inr_kg` is 0 — the gain is INR carry, not term structure"
T07,2022-07-20,T07-MCX-2,T07-MCX-3,2022-07,2022-08,SELL,247,1235000.0,209.45,209.05,-0.4,1.0218,-1.4218,-494000.0,1261880.4621,-1755880.4621,9,42,MIRROR,"PANEL_PROXY: M2 > M1 on every panel day by construction, so every short roll is a gain by construction and `metal_inr_kg` is 0 — the gain is INR carry, not term structure"
T09,2022-08-18,T09-MCX-1,T09-MCX-2,2022-08,2022-09,SELL,157,785000.0,210.8,212.65,1.85,0.9642,0.8858,1452250.0,756912.5781,695337.4219,13,43,MIRROR,"PANEL_PROXY: M2 > M1 on every panel day by construction, so every short roll is a gain by construction and `metal_inr_kg` is 0 — the gain is INR carry, not term structure"
