metric,scope,value,unit,flag,note,label
basis_bucket_mirror_inr,T01,-18420216.70417943,inr,PROXY,bucket (b) on the mirror; 0 in every base run by construction,SENSITIVITY — not base P&L
total_pnl_change_vs_base_inr,T01,-19206373.688759193,inr,PROXY,the whole effect of swapping the MCX series on this ticket,SENSITIVITY — not base P&L
basis_bucket_mirror_inr,T02,-2286083.011771355,inr,PROXY,bucket (b) on the mirror; 0 in every base run by construction,SENSITIVITY — not base P&L
total_pnl_change_vs_base_inr,T02,1042821.023516491,inr,PROXY,the whole effect of swapping the MCX series on this ticket,SENSITIVITY — not base P&L
basis_bucket_mirror_inr,T03,-9068.959168335423,inr,PROXY,bucket (b) on the mirror; 0 in every base run by construction,SENSITIVITY — not base P&L
total_pnl_change_vs_base_inr,T03,2872540.249027591,inr,PROXY,the whole effect of swapping the MCX series on this ticket,SENSITIVITY — not base P&L
basis_bucket_mirror_inr,T04,-1347707.7366457018,inr,PROXY,bucket (b) on the mirror; 0 in every base run by construction,SENSITIVITY — not base P&L
total_pnl_change_vs_base_inr,T04,-1327667.8496744111,inr,PROXY,the whole effect of swapping the MCX series on this ticket,SENSITIVITY — not base P&L
basis_bucket_mirror_inr,T05,17860150.422891874,inr,PROXY,bucket (b) on the mirror; 0 in every base run by construction,SENSITIVITY — not base P&L
total_pnl_change_vs_base_inr,T05,19173461.80935929,inr,PROXY,the whole effect of swapping the MCX series on this ticket,SENSITIVITY — not base P&L
basis_bucket_mirror_inr,T06,4307180.679876575,inr,PROXY,bucket (b) on the mirror; 0 in every base run by construction,SENSITIVITY — not base P&L
total_pnl_change_vs_base_inr,T06,3465845.9187426623,inr,PROXY,the whole effect of swapping the MCX series on this ticket,SENSITIVITY — not base P&L
basis_bucket_mirror_inr,T07,-14981371.501086067,inr,PROXY,bucket (b) on the mirror; 0 in every base run by construction,SENSITIVITY — not base P&L
total_pnl_change_vs_base_inr,T07,1692320.4805481387,inr,PROXY,the whole effect of swapping the MCX series on this ticket,SENSITIVITY — not base P&L
basis_bucket_mirror_inr,T08,4910487.471676102,inr,PROXY,bucket (b) on the mirror; 0 in every base run by construction,SENSITIVITY — not base P&L
