week_end,score,side,rank,compound,vader_compound,adj_compound,published_utc,source,title,lexicon_hits,cites_later_date
2022-02-25,vader_compound,most_negative,1,-0.3182,-0.3182,0.0516,2022-02-25T08:00:00Z,Aluminium International Today,"Aluminium price surges to new record high, driven by Ukrainian-Russian conflict",surges,False
2022-02-25,vader_compound,most_negative,2,-0.2732,-0.2732,-0.2732,2022-02-24T08:00:00Z,Business Standard,"Vedanta Aluminium launches low carbon aluminium, unveils two product lines",,False
2022-02-25,vader_compound,most_positive,1,0.5106,0.5106,0.5106,2022-02-24T08:00:00Z,Reuters,"Oil tops $105, gas, grains, metals spike as Russia invades Ukraine",,False
2022-02-25,vader_compound,most_positive,2,0.296,0.296,0.296,2022-02-23T08:00:00Z,The Guardian,Prospect of sanctions hits Russian part-owner of Queensland alumina refinery,,False
2022-03-04,vader_compound,most_negative,1,-0.5994,-0.5994,-0.5994,2022-02-27T08:00:00Z,gizchina.com,Russia - Ukraine war pushes up the prices of nickel and aluminum,,False
2022-03-04,vader_compound,most_negative,2,-0.3182,-0.3182,0.0516,2022-03-04T08:00:00Z,The Hindu,Steel prices jump as Russia-Ukraine conflict hits supply chains,jump,False
2022-03-04,vader_compound,most_positive,1,0.7783,0.7783,0.7783,2022-02-28T08:00:00Z,HUB-4.COM,"Material handler instead of excavator in metal recycling: greater performance, efficiency and safety for metal recycler in Japan | Hub-4",,False
2022-03-11,vader_compound,most_negative,1,-0.802,-0.802,-0.802,2022-03-09T08:00:00Z,WSJ,Nickel Market Crisis Sends London Metal Exchange Scrambling to Prevent Damage,,False
2022-03-11,vader_compound,most_negative,2,-0.5994,-0.5994,-0.5994,2022-03-07T08:00:00Z,Treehugger,How Russia's War on Ukraine Affects 'Green' Aluminum,,False
2022-03-11,vader_compound,most_positive,1,0.5859,0.5859,0.743,2022-03-09T08:00:00Z,barrons.com,"How Much Is a Nickel Coin Worth? More Than a Dime, Thanks to a Surge in Metals Prices.",surge,False
2022-03-11,vader_compound,most_positive,2,0.4404,0.4404,0.4404,2022-03-07T08:00:00Z,Philstar.com,Philex Mining profits up in 2021 on higher metal prices,,False
2022-03-18,vader_compound,most_negative,1,-0.7579,-0.7579,-0.7579,2022-03-16T07:00:00Z,afr.com,LME: The 18 minutes of trading chaos that broke the nickel market,,False
2022-03-18,vader_compound,most_negative,2,-0.6249,-0.6249,-0.6249,2022-03-14T07:00:00Z,Reuters,COMMENTARY: Ukraine crisis rocks the London Metal Exchange,,False
2022-03-18,vader_compound,most_positive,1,0.6808,0.6808,0.6808,2022-03-17T07:00:00Z,Recycling Product News,New research shows aluminum cans better support circular economy than PET and glass containers,,False
2022-03-18,vader_compound,most_positive,2,0.5267,0.5267,0.2263,2022-03-15T07:00:00Z,The Indian Express,"Indices snap 5-day winning streak, Sensex tumbles 709 points weighed by metal and IT stocks",tumbles,False
2022-03-25,vader_compound,most_negative,1,-0.7184,-0.7184,-0.7184,2022-03-21T07:00:00Z,Irish Examiner,Australia ban on alumina exports to Russia increases uncertainty for Aughinish in Limerick,,False
2022-03-25,vader_compound,most_negative,2,-0.5574,-0.5574,-0.5574,2022-03-22T07:00:00Z,Reuters,COMMENTARY: Australian alumina ban will squeeze Rusal and aluminium,,False
2022-03-25,vader_compound,most_positive,1,0.4588,0.4588,0.128,2022-03-25T07:00:00Z,Bloomberg.com,London Metal Exchange Sees Trader Exodus as Open Interest Slides,slides,False
