date,in_window,cp_id,cp_name,role,credit_limit_inr,limit_basis,receivable_inr,presettlement_inr,contracted_inr,advance_pending_inr,credit_exposure_p04_basis_inr,credit_exposure_inr,utilisation_frac,utilisation_receivable_frac,utilisation_contracted_frac,utilisation_p04_basis_frac,advance_reliance_multiple,days_past_due,feat_utilisation_peak_91d_frac,feat_dpd_max_12m_days,feat_history_months,feat_order_concentration_frac,advance_reliance_peak_91d_multiple,contracted_utilisation_peak_91d_frac,pd_model_annual_frac,band_model,overlay_notches,band_final,band_max_credit_utilisation_frac,band_max_advance_reliance_multiple,breach_hard,breach_hard_receivable,breach_hard_credit_p04_basis,flag_soft_utilisation,flag_performance_advance_p14,flag_contracted_over_limit,flag_past_due,flag_band_utilisation,flag_band_advance,limit_action,recommended_limit_inr,events,label
2022-03-08,True,BUY_JNPT_01,Taloja Alloys and Smelters Pvt Ltd (SIM),BUYER,560000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,34.75975359,0.0,0.0,0.0,0.00579028,A,0.0,A,1.0,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — eligible for a limit increase at the next review,560000000.0,,"ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-08,True,BUY_MUN_01,Kandla Metal Industries Pvt Ltd (SIM),BUYER,650000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,28.09034908,0.0,0.0,0.0,0.00412588,A,0.0,A,1.0,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — eligible for a limit increase at the next review,650000000.0,,"ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-08,True,BUY_RJK_01,Saurashtra Castings and Alloys Pvt Ltd (SIM),BUYER,120000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,12.91170431,0.0,0.0,0.0,0.01869493,A,0.0,A,1.0,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — eligible for a limit increase at the next review,120000000.0,,"ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-08,True,SUP_JEA_01,Khaleej Metal Resources FZE (SIM),SUPPLIER,46230600.0,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
2022-03-08,True,SUP_USEC_01,Tidewater Recycling Corp (SIM),SUPPLIER,69345900.0,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
2022-03-08,True,SUP_USEC_02,Delaware Bay Metals LLC (SIM),SUPPLIER,30820400.0,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
2022-03-09,True,BUY_JNPT_01,Taloja Alloys and Smelters Pvt Ltd (SIM),BUYER,560000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,34.7926078,0.0,0.0,0.0,0.00578665,A,0.0,A,1.0,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — eligible for a limit increase at the next review,560000000.0,,"ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-09,True,BUY_MUN_01,Kandla Metal Industries Pvt Ltd (SIM),BUYER,650000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,28.12320329,0.0,0.0,0.0,0.0041233,A,0.0,A,1.0,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — eligible for a limit increase at the next review,650000000.0,,"ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-09,True,BUY_RJK_01,Saurashtra Castings and Alloys Pvt Ltd (SIM),BUYER,120000000.0,"credit exposure = receivable + contracted-not-invoiced not covered by an advance (desk limit definition, P04 basis, evaluated daily) vs credit_limit_inr",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,12.94455852,0.0,0.0,0.0,0.01868338,A,0.0,A,1.0,1.0,False,False,False,False,False,False,False,False,False,MAINTAIN — eligible for a limit increase at the next review,120000000.0,,"ACADEMIC SIMULATION — not actual trades. Scores: illustrative logistic model trained on SYNTHETIC data, computed from information dated on or before each row's date"
2022-03-09,True,SUP_JEA_01,Khaleej Metal Resources FZE (SIM),SUPPLIER,45957900.0,claims/refunds owed by supplier (P3 supplier_exposure_inr) vs claims_exposure_limit_usd x usdinr,,,,,,0.0,0.0,,,,,,,,,,,,,NOT_SCORED,,NOT_SCORED,,,False,False,False,False,False,False,False,False,False,NOT_SCORED — the buyer default model does not describe supplier claims risk; limit monitored only,,,ACADEMIC SIMULATION — not actual trades
