column,flag,source,transformation,unit
date,DIRECT,"Westmetall LME Aluminium official price tables, https://www.westmetall.com/en/markdaten.php?action=table&field=LME_Al_cash&year=<2018..2022>","Dates listed in the Westmetall yearly tables, 2018-01-02..2022-12-30.",date_yyyy_mm_dd
in_window,ASSUMPTION,MASTER_SPEC_V3 Table 2 scope choice (desk.WINDOW_START / desk.WINDOW_END),"date between 2022-03-01 and 2022-08-31 inclusive. A scope definition, not market data.",bool
lme_cash_usd_t,DIRECT,"Westmetall LME Aluminium official price tables, https://www.westmetall.com/en/markdaten.php?action=table&field=LME_Al_cash&year=<2018..2022>",Parsed from cached HTML (data/raw/westmetall_lme_al_<year>.html); thousands separators removed.,usd_per_mt
lme_3m_usd_t,DIRECT,"Westmetall LME Aluminium official price tables, https://www.westmetall.com/en/markdaten.php?action=table&field=LME_Al_cash&year=<2018..2022>",Parsed from cached HTML (data/raw/westmetall_lme_al_<year>.html).,usd_per_mt
lme_cash_3m_spread_usd_t,DIRECT,"Westmetall LME Aluminium official price tables, https://www.westmetall.com/en/markdaten.php?action=table&field=LME_Al_cash&year=<2018..2022>","lme_cash_usd_t - lme_3m_usd_t (arithmetic on two DIRECT prices, same day).",usd_per_mt
lme_stock_mt,DIRECT,"Westmetall LME Aluminium official price tables, https://www.westmetall.com/en/markdaten.php?action=table&field=LME_Al_cash&year=<2018..2022>",Parsed from the stock column of the same tables.,mt
usdinr,PROXY,ECB Data Portal EXR reference rates D.INR.EUR.SP00.A and D.USD.EUR.SP00.A (https://data-api.ecb.europa.eu/service/data/EXR/...); optional data/manual/rbi_reference_rate.csv,ECB EUR/INR / ECB EUR/USD (same 14:15 CET fixing) standing in for the RBI 13:30 IST reference rate; MANUAL_RBI rows override where supplied. Panel: latest ECB-calendar row on/before the LME day (usdinr_filled=True when carried; > 5 business days raises). Sources on panel days: ECB_CROSS=1264.,inr_per_usd
usdinr_filled,PROXY,ECB publication calendar vs LME calendar,"Indicator; flagged like the series it qualifies (usdinr, PROXY). Panel: latest ECB-calendar row on/before the LME day (usdinr_filled=True when carried; > 5 business days raises). Sources on panel days: ECB_CROSS=1264.",bool
usdinr_src,PROXY,desk.data.fetch_fx,Label carried from fx_rates_daily.csv; flagged like the series it qualifies. Panel: latest ECB-calendar row on/before the LME day (usdinr_filled=True when carried; > 5 business days raises). Sources on panel days: ECB_CROSS=1264.,text
rbi_repo_pa,DIRECT,config/params/rates.yaml rbi_repo_rate_pa (RBI MPC press releases; verify field lists release ids),Step path evaluated on each ECB date (effective on announcement date). Panel: latest ECB-calendar row on/before the LME day (usdinr_filled=True when carried; > 5 business days raises).,rate_pa
fed_funds_upper_pa,DIRECT,config/params/rates.yaml fed_funds_upper_pa (federalreserve.gov open market operations table),Step path evaluated on each ECB date (effective dates). Panel: latest ECB-calendar row on/before the LME day (usdinr_filled=True when carried; > 5 business days raises).,rate_pa
