limit_id,area,param_key,limit_value,unit,evidence,source,days_checked,days_breached,first_breach,last_breach,breach_dates,book_verdict,remediation,label
POS_GROSS_MT,position,policy_max_physical_open_mt,5000.0,mt,"peak 4,450 MT on 2022-04-21; unsold peak 4,980 MT on 2022-04-06","book_exposures_daily.csv BOOK lme_delta_physical_mt, unsold_mt",121,0,,,,WITHIN,,ACADEMIC SIMULATION — not actual trades
POS_GROSS_USD,position,policy_max_physical_open_usd,15000000.0,usd,peak USD 14.52 m on 2022-04-21,book_exposures_daily.csv lme_delta_physical_mt x market_daily.csv lme_cash_usd_t,121,0,,,,WITHIN,,ACADEMIC SIMULATION — not actual trades
NET_UNHEDGED_MT,unhedged,policy_max_net_unhedged_mt,1000.0,mt,"absolute net 95th pct 967 MT; max 1,817 MT on 2022-03-08","book_exposures_daily.csv BOOK lme_delta_mt, clean days",105,5,2022-03-08,2022-07-06,2022-03-08;2022-05-13;2022-05-16;2022-07-05;2022-07-06,BREACHED,rebalance MCX within 2 sessions of a breach; no purchase before its hedge can be placed,ACADEMIC SIMULATION — not actual trades
NET_UNHEDGED_USD,unhedged,policy_max_net_unhedged_usd,3000000.0,usd,absolute net max USD 6.36 m,"book_exposures_daily.csv BOOK lme_delta_usd, clean days",105,2,2022-03-08,2022-04-14,2022-03-08;2022-04-14,BREACHED,rebalance MCX within 2 sessions of a breach; no purchase before its hedge can be placed,ACADEMIC SIMULATION — not actual trades
UNHEDGED_FRAC,unhedged,policy_max_unhedged_frac,0.25,frac,"absolute net / physical above 25 % on days with physical ≥ 1,000 MT","book_exposures_daily.csv lme_delta_mt / lme_delta_physical_mt, clean days",99,26,2022-03-08,2022-08-17,2022-03-08;2022-04-27;2022-04-28;2022-04-29;2022-05-03;2022-05-04;2022-05-05;2022-05-06;2022-05-10;2022-05-11;2022-05-12;2022-05-13;2022-05-16;2022-06-10;2022-06-13;2022-06-14;2022-06-15;2022-07-05;2022-07-06;2022-07-07;2022-07-08;2022-07-11;2022-07-12;2022-07-13;2022-07-14;2022-08-17,BREACHED,rebalance MCX within 2 sessions of a breach; no purchase before its hedge can be placed,ACADEMIC SIMULATION — not actual trades
MCX_HEDGE_RATIO,hedge,policy_mcx_hedge_ratio_band_frac,0.80-1.10,frac,8 tickets 0.899-1.002; outside: T04 0.50,trade_hedges.csv hedge_ratio_actual (MCX),9,1,T04,T04,T04,BREACHED,prior committee approval for any ratio outside the band,ACADEMIC SIMULATION — not actual trades
MCX_ROLL,hedge,mcx_roll_days_before_expiry,7,trading_days_before_expiry,13 of 13 rolls on or before the deadline,mcx_variation_margin.csv roll_out date vs roll_deadline,13,0,,,,WITHIN,,ACADEMIC SIMULATION — not actual trades
FX_COVER,hedge,policy_fx_forward_cover_min_frac,0.9,frac,8 tickets at 100 %; T06 60 %,trade_book.csv fx_hedge_frac_target,9,1,T06,T06,T06,BREACHED,cover to ≥ 90 % or take a committee exception,ACADEMIC SIMULATION — not actual trades
STOP_TICKET_REVIEW,stop_loss,policy_stop_ticket_review_inr,10000000.0,inr,T08 −₹26.1 m; T05 −₹14.0 m; T07 −₹11.9 m; T04 −₹10.9 m,attribution_daily.csv per-ticket cum_pnl_inr drawdown from its own peak,9,4,T04@2022-05-10,T07@2022-07-25,T04@2022-05-10;T05@2022-07-05;T08@2022-07-20;T07@2022-07-25,BREACHED,same-day review with head of desk,ACADEMIC SIMULATION — not actual trades
STOP_TICKET_HARD,stop_loss,policy_stop_ticket_hard_inr,20000000.0,inr,T08 first 2022-08-01,attribution_daily.csv,9,1,T08@2022-08-01,T08@2022-08-01,T08@2022-08-01,BREACHED,hedge ticket to 1.0; no same-grade additions until closed,ACADEMIC SIMULATION — not actual trades
STOP_BOOK,stop_loss,policy_stop_book_drawdown_inr,40000000.0,inr,book −₹49.9 m from 2022-06-09 to 2022-08-08,attribution_daily.csv BOOK cum_pnl_inr,164,14,2022-08-01,2022-08-25,2022-08-01;2022-08-02;2022-08-03;2022-08-04;2022-08-05;2022-08-08;2022-08-16;2022-08-17;2022-08-18;2022-08-19;2022-08-22;2022-08-23;2022-08-24;2022-08-25,BREACHED,no new purchases until committee review,ACADEMIC SIMULATION — not actual trades
STOP_BLOCKED_PURCHASES,stop_loss,policy_stop_book_drawdown_inr; policy_stop_ticket_hard_inr,,,"T09 on 2022-08-03 (prev close 2022-08-02: book −₹40.2 m, T08 −₹22.7 m)",trade_book.csv trade_date vs drawdowns at the previous close,9,1,T09@2022-08-03,T09@2022-08-03,T09@2022-08-03,BREACHED,purchase would have been refused,ACADEMIC SIMULATION — not actual trades
VAR,var,policy_var_limit_inr,10000000.0,inr,"GARCH mean ₹4.27 m, max ₹43.5 m (on 2022-03-09)","var_daily.csv max(var_garch_inr, var_hist250_inr), clean position dates",104,1,2022-03-09,2022-03-09,2022-03-09,BREACHED,cut the position that drives it the same day,ACADEMIC SIMULATION — not actual trades
CREDIT_BANDS,counterparty,credit_* (risk_credit.yaml) via credit_band_policy.csv,A/B/C/D,band,5 of 10 sale bookings outside the band policy at the previous close; BUY_RJK_01 advances > 1.0x limit on 37 days (peak 1.83x),"credit_tracker_bookings.csv, credit_tracker.csv, credit_scores.csv",10,5,T01-S1@2022-04-25,T07-S1@2022-07-26,T01-S1@2022-04-25;T01-S2@2022-05-09;T04-S1@2022-05-24;T06-S1@2022-06-01;T07-S1@2022-07-26,BREACHED,"BUY_RJK_01 line ₹120 m → ₹60 m, advance/CAD only",ACADEMIC SIMULATION — not actual trades
FREIGHT_FIX,freight,policy_freight_fix_within_bdays,10,trading_days,"T01 8 d, T04 6 d, T07 2 d",trade_book.csv,3,0,,,,WITHIN,,ACADEMIC SIMULATION — not actual trades
FREIGHT_STOP,freight,policy_freight_stop_max_frac_over_fixture,0.2,frac,"T01 +18.4 %, T04 +12.7 %, T07 +14.2 %",trade_book.csv,3,0,,,,WITHIN,,ACADEMIC SIMULATION — not actual trades
LIQ_BUFFER_RULE,liquidity,liq_fb_wc_limit_inr; liq_min_cash_buffer_frac_of_fb_limit,1000000000.0,inr,"peak funding need ₹1,179.0 m on 2022-07-20; 99 % margin-at-risk peak ₹304.4 m on 2022-04-21",margin_liquidity.csv,169,30,2022-05-10,2022-08-05,2022-05-10;2022-05-11;2022-05-12;2022-05-13;2022-05-16;2022-05-17;2022-05-18;2022-05-19;2022-05-20;2022-05-23;2022-07-11;2022-07-12;2022-07-13;2022-07-14;2022-07-15;2022-07-18;2022-07-19;2022-07-20;2022-07-21;2022-07-22;2022-07-25;2022-07-26;2022-07-27;2022-07-28;2022-07-29;2022-08-01;2022-08-02;2022-08-03;2022-08-04;2022-08-05,BREACHED,"ad-hoc WC limit ₹500 m for peak months, or fewer concurrent parcels",ACADEMIC SIMULATION — not actual trades
LIQ_FB_LIMIT,liquidity,liq_fb_wc_limit_inr,1000000000.0,inr,19 days drawn above the line,margin_liquidity.csv flag_fb_limit_breach,169,19,2022-05-16,2022-08-05,2022-05-16;2022-05-17;2022-05-18;2022-05-19;2022-07-18;2022-07-19;2022-07-20;2022-07-21;2022-07-22;2022-07-25;2022-07-26;2022-07-27;2022-07-28;2022-07-29;2022-08-01;2022-08-02;2022-08-03;2022-08-04;2022-08-05,BREACHED,as LIQ_BUFFER_RULE,ACADEMIC SIMULATION — not actual trades
LIQ_LC_LIMIT,liquidity,liq_nfb_lc_limit_inr,1000000000.0,inr,"LC outstanding peak ₹1,414.8 m on 2022-06-13",margin_liquidity.csv,169,17,2022-04-28,2022-06-21,2022-04-28;2022-05-27;2022-05-30;2022-05-31;2022-06-01;2022-06-06;2022-06-07;2022-06-08;2022-06-09;2022-06-10;2022-06-13;2022-06-14;2022-06-15;2022-06-16;2022-06-17;2022-06-20;2022-06-21,BREACHED,"ad-hoc LC limit ₹500 m, or open the next LC only after a payment clears",ACADEMIC SIMULATION — not actual trades
